sH,deg,sh,aloc,aglo,ctw,pri,ratioWL,ratioWG,ratioPL,ratioPG,estRatioL,estRatioG
2,1,1,96,54,28,12,29.17,51.85,12.50,22.22,16.67,66.67
2,1,2,432,300,28,12,6.48,9.33,2.78,4.00,3.70,8.33
2,1,4,2400,1944,28,12,1.17,1.44,0.50,0.62,0.67,1.04
3,1,1,324,144,81,51,25.00,56.25,15.74,35.42,16.67,66.67
3,1,2,1458,882,81,51,5.56,9.18,3.50,5.78,3.70,8.33
3,1,4,8100,6084,81,51,1.00,1.33,0.63,0.84,0.67,1.04
4,1,1,768,300,176,128,22.92,58.67,16.67,42.67,16.67,66.67
4,1,2,3456,1944,176,128,5.09,9.05,3.70,6.58,3.70,8.33
4,1,4,19200,13872,176,128,0.92,1.27,0.67,0.92,0.67,1.04
6,1,1,2592,882,540,444,20.83,61.22,17.13,50.34,16.67,66.67
6,1,2,11664,6084,540,444,4.63,8.88,3.81,7.30,3.70,8.33
6,1,4,64800,45000,540,444,0.83,1.20,0.69,0.99,0.67,1.04
8,1,1,6144,1944,1216,1056,19.79,62.55,17.19,54.32,16.67,66.67
8,1,2,27648,13872,1216,1056,4.40,8.77,3.82,7.61,3.70,8.33
8,1,4,153600,104544,1216,1056,0.79,1.16,0.69,1.01,0.67,1.04
11,1,1,15972,4752,3025,2739,18.94,63.66,17.15,57.64,16.67,66.67
11,1,2,71874,34914,3025,2739,4.21,8.66,3.81,7.84,3.70,8.33
11,1,4,399300,267300,3025,2739,0.76,1.13,0.69,1.02,0.67,1.04
16,1,1,49152,13872,8960,8384,18.23,64.59,17.06,60.44,16.67,66.67
16,1,2,221184,104544,8960,8384,4.05,8.57,3.79,8.02,3.70,8.33
16,1,4,1228800,811200,8960,8384,0.73,1.10,0.68,1.03,0.67,1.04
